1,32,26,12,2019,S
2,60,49,5,2016,S
3,47,47,6,2021,N
4,85,26,1,2022,N
5,89,45,12,2021,N
6,62,17,9,2021,N
7,39,20,3,2019,S
8,62,23,9,2016,S
9,84,36,3,2020,N
10,61,24,7,2019,N
11,49,36,9,2018,N
12,54,20,3,2022,N
13,78,40,5,2020,N
14,30,30,1,2018,S
15,55,24,11,2017,S
16,46,36,4,2016,S
17,43,39,12,2020,N
18,63,38,7,2021,N
19,44,25,9,2021,N
20,37,34,11,2016,S
21,98,40,10,2018,N
22,91,17,7,2020,N
23,38,27,5,2016,S
24,63,32,5,2019,N
25,96,15,7,2016,S
26,39,25,8,2018,S
27,91,16,4,2022,N
28,86,47,11,2018,N
29,69,48,10,2016,S
30,67,30,11,2019,N
31,45,29,5,2016,S
32,31,35,6,2018,S
33,46,21,12,2021,N
34,84,41,11,2018,N
35,30,49,9,2017,S
36,81,39,8,2019,N
37,94,17,9,2022,N
38,41,37,10,2018,N
39,63,49,2,2017,S
40,61,17,11,2022,N
41,94,18,11,2019,N
42,34,16,1,2019,S
43,35,49,12,2018,S
44,70,32,9,2018,N
45,95,37,10,2016,S
46,68,46,12,2021,N
47,61,19,7,2016,S
48,37,22,9,2020,S
49,32,39,5,2021,S
50,51,46,3,2016,S
51,64,17,7,2020,N
52,83,35,5,2021,N
53,61,41,4,2021,N
54,81,36,5,2016,S
55,82,48,6,2018,N
56,97,47,9,2017,S
57,50,39,4,2017,S
58,86,45,2,2016,S
59,60,40,9,2016,S
60,44,49,5,2020,N
61,67,38,9,2016,S
62,68,32,12,2017,S
63,93,42,10,2020,N
64,82,22,3,2017,S
65,89,45,10,2021,N
66,92,34,7,2022,N
67,83,19,1,2020,N
68,76,25,9,2016,S
69,42,43,8,2022,N
70,57,46,12,2021,N
71,78,35,11,2022,N
72,58,19,12,2020,N
73,56,15,12,2018,N
74,47,46,6,2016,S
75,88,38,4,2021,N
76,70,25,4,2017,S
77,92,43,7,2022,N
78,52,25,11,2021,N
79,65,19,9,2020,N
80,86,43,1,2021,N
81,61,33,5,2020,N
82,92,39,12,2019,N
83,50,17,5,2020,N
84,55,27,1,2020,N
85,64,47,8,2020,N
86,68,32,5,2018,N
87,64,33,2,2017,S
88,32,45,9,2022,S
89,64,39,7,2020,N
90,80,27,5,2021,N
91,45,27,11,2017,S
92,30,34,11,2016,S
93,82,32,5,2021,N
94,96,34,4,2018,N
95,71,46,4,2018,N
96,79,42,11,2021,N
97,66,32,1,2018,N
98,99,40,11,2020,N
99,76,38,10,2022,N
100,71,29,3,2021,N
